月数,人口,单岗研究,总研究,单岗超然逻辑,总超然逻辑,单岗能量币维护,总岗能量币维护,人口净化进度,产生人口净化进度,人口增长进度,产生人口增长进度,帝国人口
233,316,240.38587500000003,75961.93650000001,5.807487500000001,1835.1660500000003,42.85750000000001,13542.970000000003,45.55000000002383,510.6,345.29999999998654,1465,2516
234,316,240.38587500000003,75961.93650000001,5.807487500000001,1835.1660500000003,42.85750000000001,13542.970000000003,56.15000000002385,510.6,52.299999999986426,1465,2516
235,315,239.18203125,75342.33984375,5.773359375,1818.608203125,42.721875000000004,13457.390625000002,66.75000000002387,508.75,110.89999999998645,1465,2515
236,314,237.98118749999998,74726.09287499999,5.73933125,1802.1500125,42.58625000000001,13372.082500000002,75.50000000002387,506.90000000000003,169.89999999998645,1465,2514
237,313,236.78334374999994,74113.18659374998,5.705403124999999,1785.7911781249998,42.45062500000001,13287.045625000002,82.40000000002397,505.05,229.29999999998654,1465,2513
238,312,235.5885,73503.61200000001,5.671575000000001,1769.5314000000003,42.31500000000001,13202.280000000004,87.45000000002392,503.20000000000005,289.0999999999865,1465,2512
239,311,234.39665625,72897.36009375,5.637846874999999,1753.3703781249997,42.17937500000001,13117.785625000002,90.65000000002397,501.35,349.2999999999863,1465,2511
240,311,234.39665625,72897.36009375,5.637846874999999,1753.3703781249997,42.17937500000001,13117.785625000002,92.00000000002399,501.35,58.7999999999862,1465,2511
241,310,233.20781250000002,72294.421875,5.60421875,1737.3078125000002,42.04375,13033.5625,93.35000000002401,499.5,119.399999999986,1465,2510
242,309,232.02196874999996,71694.78834374998,5.570690624999999,1721.3434031249997,41.908125000000005,12949.610625000001,92.85000000002401,497.65000000000003,180.399999999986,1465,2509
243,308,230.83912499999997,71098.45049999999,5.537262500000001,1705.4768500000002,41.77250000000001,12865.930000000002,90.5000000000241,495.8,241.79999999998608,1465,2508
244,307,229.65928125000002,70505.39934375,5.503934375000001,1689.7078531250004,41.63687500000001,12782.520625000003,86.30000000002406,493.95000000000005,303.59999999998604,1465,2507
245,307,229.65928125000002,70505.39934375,5.503934375000001,1689.7078531250004,41.63687500000001,12782.520625000003,80.2500000000241,493.95000000000005,15.099999999985812,1465,2507
246,306,228.4824375,69915.625875,5.47070625,1674.0361125,41.501250000000006,12699.382500000002,74.20000000002415,492.1,77.29999999998563,1465,2506
247,305,227.30859375000003,69329.12109375001,5.437578125000001,1658.4613281250001,41.36562500000001,12616.515625000002,66.30000000002417,490.25,139.89999999998554,1465,2505
248,304,226.13775,68745.876,5.40455,1642.9832000000001,41.23000000000001,12533.920000000004,56.55000000002417,488.40000000000003,202.89999999998554,1465,2504
